id,make,model,year,VClass,drive,trans,fuelType,cylinders,displ,city,UCity,highway,UHighway,co2,feScore,ghgScore,efficiency_value,pv_value
37877,BMW,230i xDrive Coupe,2017-01-01,Subcompact Cars,All-Wheel Drive,Automatic (S8),Premium Gasoline,4,2.0,23.8596,30.6736,33.2185,48.1,325,6,6,pv4,0
37878,BMW,230i Convertible,2017-01-01,Subcompact Cars,Rear-Wheel Drive,Automatic (S8),Premium Gasoline,4,2.0,23.435,30.0698,34.1627,49.6345,324,6,6,pv4,0
37879,BMW,230i xDrive Convertible,2017-01-01,Subcompact Cars,All-Wheel Drive,Automatic (S8),Premium Gasoline,4,2.0,22.8838,29.2895,32.6542,47.1878,335,6,6,pv4,0
37880,BMW,430i Convertible,2017-01-01,Subcompact Cars,Rear-Wheel Drive,Automatic (S8),Premium Gasoline,4,2.0,23.435,30.0698,34.1627,49.6345,324,6,6,pv4,0
37881,BMW,430i xDrive Convertible,2017-01-01,Subcompact Cars,All-Wheel Drive,Automatic (S8),Premium Gasoline,4,2.0,22.1242,28.2205,32.291,46.6026,343,6,6,pv4,0
37882,Chevrolet,Spark,2017-01-01,Subcompact Cars,Front-Wheel Drive,Automatic (variable gear ratios),Regular Gasoline,4,1.4,30.1512,39.9,37.6543,55.4,268,8,8,pv4,86
37883,Chevrolet,Spark,2017-01-01,Subcompact Cars,Front-Wheel Drive,Manual 5-spd,Regular Gasoline,4,1.4,29.42,38.8,38.1914,56.3,271,8,8,pv4,86
37884,Toyota,Yaris iA,2017-01-01,Subcompact Cars,Front-Wheel Drive,Manual 6-spd,Regular Gasoline,4,1.5,30.0,40.9272,39.0,59.3,264,8,8,pv4,86
37885,Toyota,Yaris iA,2017-01-01,Subcompact Cars,Front-Wheel Drive,Automatic (S6),Regular Gasoline,4,1.5,32.2214,43.0555,40.487,60.1861,249,8,8,pv4,86
37886,Audi,Q3 quattro,2017-01-01,Compact Cars,All-Wheel Drive,Automatic (S6),Premium Gasoline,4,2.0,19.7028,24.8,28.0105,38.5,387,5,5,pv4,0
37887,BMW,330i,2017-01-01,Compact Cars,Rear-Wheel Drive,Automatic (S8),Premium Gasoline,4,2.0,23.435,30.0698,34.1627,49.6345,324,6,6,pv4,96
37888,BMW,330i,2017-01-01,Compact Cars,Rear-Wheel Drive,Manual 6-spd,Premium Gasoline,4,2.0,20.9012,26.5146,31.7844,45.789,360,5,5,pv4,96
37889,BMW,330i xDrive,2017-01-01,Compact Cars,All-Wheel Drive,Automatic (S8),Premium Gasoline,4,2.0,22.8838,29.2895,32.6542,47.1878,335,6,6,pv4,96
37890,BMW,320i,2017-01-01,Compact Cars,Rear-Wheel Drive,Manual 6-spd,Premium Gasoline,4,2.0,23.1059,29.6034,35.0626,51.1066,325,6,6,pv4,96
37891,BMW,320i xDrive,2017-01-01,Compact Cars,All-Wheel Drive,Automatic (S8),Premium Gasoline,4,2.0,22.8489,29.2403,34.1791,49.6612,332,6,6,pv4,96
37892,BMW,340i,2017-01-01,Compact Cars,Rear-Wheel Drive,Automatic (S8),Premium Gasoline,6,3.0,21.3931,27.1985,31.6341,45.5481,358,5,5,pv4,96
37893,BMW,430i Coupe,2017-01-01,Compact Cars,Rear-Wheel Drive,Automatic (S8),Premium Gasoline,4,2.0,23.435,30.0698,34.1627,49.6345,324,6,6,pv4,0
37894,BMW,430i Coupe,2017-01-01,Compact Cars,Rear-Wheel Drive,Manual 6-spd,Premium Gasoline,4,2.0,21.1763,26.8967,33.2625,48.1712,351,5,5,pv4,0
37895,BMW,430i xDrive Coupe,2017-01-01,Compact Cars,All-Wheel Drive,Automatic (S8),Premium Gasoline,4,2.0,22.8838,29.2895,32.6542,47.1878,335,6,6,pv4,0
37896,BMW,430i Gran Coupe,2017-01-01,Compact Cars,Rear-Wheel Drive,Automatic (S8),Premium Gasoline,4,2.0,23.435,30.0698,34.1627,49.6345,324,6,6,pv4,92
37897,BMW,430i xDrive Gran Coupe,2017-01-01,Compact Cars,All-Wheel Drive,Automatic (S8),Premium Gasoline,4,2.0,22.8838,29.2895,32.6542,47.1878,335,6,6,pv4,92
37898,Cadillac,ATS,2017-01-01,Compact Cars,Rear-Wheel Drive,Automatic (S8),Premium Gasoline,4,2.0,22.3036,28.4723,30.505,43.7471,349,5,5,pv4,91
37899,Cadillac,ATS,2017-01-01,Compact Cars,Rear-Wheel Drive,Automatic (S8),Regular Gasoline,4,2.5,22.0382,28.1,31.604,45.5,347,6,6,pv4,91
37900,Cadillac,ATS-V,2017-01-01,Compact Cars,Rear-Wheel Drive,Automatic (S8),Premium Gasoline,6,3.6,16.9285,21.1,24.89,35.0,449,4,4,pv4,91
37901,Cadillac,ATS-V,2017-01-01,Compact Cars,Rear-Wheel Drive,Manual 6-spd,Premium Gasoline,6,3.6,16.3295,20.3,22.6469,31.6,475,4,4,pv4,91
37902,Cadillac,ATS AWD,2017-01-01,Compact Cars,All-Wheel Drive,Automatic (S8),Premium Gasoline,4,2.0,21.7524,27.7,29.5912,42.3,358,5,5,pv4,91
37903,Chevrolet,Sonic,2017-01-01,Compact Cars,Front-Wheel Drive,Automatic (S6),Regular Gasoline,4,1.8,24.3683,31.4,34.2029,49.7,317,6,6,pv4,91
37904,Chevrolet,Sonic,2017-01-01,Compact Cars,Front-Wheel Drive,Manual 5-spd,Regular Gasoline,4,1.8,25.4806,33.0,33.1568,48.0,312,6,6,pv4,91
37905,Chevrolet,Sonic,2017-01-01,Compact Cars,Front-Wheel Drive,Automatic (S6),Regular Gasoline,4,1.4,26.7185,34.8,35.5452,51.9,295,7,7,pv4,91
37906,Chevrolet,Sonic,2017-01-01,Compact Cars,Front-Wheel Drive,Manual 6-spd,Regular Gasoline,4,1.4,28.0777,36.8,37.5346,55.2,281,7,7,pv4,91
37907,Chevrolet,Cruze,2017-01-01,Compact Cars,Front-Wheel Drive,Automatic (S6),Regular Gasoline,4,1.4,29.6199,39.1,39.9081,59.2,265,8,8,pv4,94
37908,Chevrolet,Cruze Premier,2017-01-01,Compact Cars,Front-Wheel Drive,Automatic (S6),Regular Gasoline,4,1.4,29.0,39.1,39.0,59.2,269,8,8,pv4,94
37909,Chevrolet,Cruze Hatchback,2017-01-01,Midsize Cars,Front-Wheel Drive,Automatic (S6),Regular Gasoline,4,1.4,29.0,39.1,38.0,59.2,278,7,7,pv4,0
37910,Chevrolet,Cruze Premier Hatchback,2017-01-01,Midsize Cars,Front-Wheel Drive,Automatic (S6),Regular Gasoline,4,1.4,28.0,39.1,37.0,59.2,287,7,7,pv4,0
37911,Chevrolet,Cruze,2017-01-01,Compact Cars,Front-Wheel Drive,Manual 6-spd,Regular Gasoline,4,1.4,28.3475,37.2,39.2004,58.0,274,7,7,pv4,94
37912,Chevrolet,Cruze Hatchback,2017-01-01,Midsize Cars,Front-Wheel Drive,Manual 6-spd,Regular Gasoline,4,1.4,28.3475,37.2,37.0,58.0,286,7,7,pv4,0
37913,Mercedes-Benz,C300 4matic,2017-01-01,Compact Cars,4-Wheel Drive,Automatic 7-spd,Premium Gasoline,4,2.0,24.0184,30.9,30.7898,44.2,333,6,6,pv4,90
37914,Rolls-Royce,Dawn,2017-01-01,Compact Cars,Rear-Wheel Drive,Automatic (S8),Premium Gasoline,12,6.6,11.758,14.3297,18.6292,25.6396,627,1,1,pv4,0
37915,Volkswagen,Golf R,2017-01-01,Compact Cars,All-Wheel Drive,Automatic (AM-S6),Premium Gasoline,4,2.0,22.6857,28.1,29.6622,40.6,347,5,5,pv4,0
37916,Volkswagen,Golf R,2017-01-01,Compact Cars,All-Wheel Drive,Manual 6-spd,Premium Gasoline,4,2.0,21.6528,26.5,30.5249,39.7,354,5,5,pv4,0
37917,Volkswagen,Jetta,2017-01-01,Compact Cars,Front-Wheel Drive,Automatic (S6),Regular Gasoline,4,1.4,27.7395,36.3,38.0722,56.1,282,7,7,pv4,94
37918,Volkswagen,Jetta,2017-01-01,Compact Cars,Front-Wheel Drive,Manual 5-spd,Regular Gasoline,4,1.4,28.4148,37.3,40.0257,59.4,271,8,8,pv4,94
37919,Acura,RLX,2017-01-01,Midsize Cars,Front-Wheel Drive,Automatic (S6),Premium Gasoline,6,3.5,19.8039,25.0,30.1602,43.2,380,5,5,pv4,102
37920,Acura,RLX Hybrid,2017-01-01,Midsize Cars,All-Wheel Drive,Automatic (AM-S7),Premium Gasoline,6,3.5,29.1463,38.3902,30.0,44.3171,306,7,7,pv4,102
37921,Buick,LaCrosse,2017-01-01,Midsize Cars,Front-Wheel Drive,Automatic (S8),Regular Gasoline,6,3.6,21.0347,26.7,31.354,45.1,360,5,5,pv4,102
37922,Buick,LaCrosse AWD,2017-01-01,Midsize Cars,All-Wheel Drive,Automatic (S8),Regular Gasoline,6,3.6,20.3124,25.7,28.9563,41.3,378,5,5,pv4,102
37923,Buick,Regal AWD,2017-01-01,Midsize Cars,All-Wheel Drive,Automatic (S6),Premium Gasoline,4,2.0,19.366,24.3996,26.5819,37.5995,402,5,5,pv4,98
37924,Cadillac,CTS,2017-01-01,Midsize Cars,Rear-Wheel Drive,Automatic (S8),Premium Gasoline,4,2.0,21.5537,27.4225,30.2223,43.2984,359,5,5,pv4,97
37925,Cadillac,CTS,2017-01-01,Midsize Cars,Rear-Wheel Drive,Automatic (S8),Premium Gasoline,6,3.6,15.6519,19.4,23.6408,33.1,481,3,3,pv4,97
37926,Cadillac,CTS AWD,2017-01-01,Midsize Cars,All-Wheel Drive,Automatic (S8),Premium Gasoline,4,2.0,21.0,27.7,29.0,42.3,368,5,5,pv4,97
37927,Cadillac,CTS-V,2017-01-01,Midsize Cars,Rear-Wheel Drive,Automatic (S8),Premium Gasoline,8,6.2,14.2845,17.6,21.2439,29.5,530,3,3,pv4,97
37928,Chevrolet,Malibu,2017-01-01,Midsize Cars,Front-Wheel Drive,Automatic 6-spd,Regular Gasoline,4,1.5,26.7185,34.8,36.1511,52.9,293,7,7,pv4,100
37929,Rolls-Royce,Wraith,2017-01-01,Midsize Cars,Rear-Wheel Drive,Automatic (S8),Premium Gasoline,12,6.6,12.3581,15.1,18.8752,26.0,604,2,2,pv4,0
37930,BMW,X1 xDrive28i,2017-01-01,Large Cars,All-Wheel Drive,Automatic (S8),Premium Gasoline,4,2.0,21.9462,27.9711,31.166,44.7998,349,5,5,pv4,0
37931,BMW,X1 sDrive28i,2017-01-01,Large Cars,Front-Wheel Drive,Automatic (S8),Premium Gasoline,4,2.0,22.8873,29.2945,32.1649,46.3998,337,6,6,pv4,0
37932,BMW,330i xDrive Gran Turismo,2017-01-01,Large Cars,All-Wheel Drive,Automatic (S8),Premium Gasoline,4,2.0,22.8838,29.2895,32.6542,47.1878,335,6,6,pv4,102
37933,BMW,750i,2017-01-01,Large Cars,Rear-Wheel Drive,Automatic (S8),Premium Gasoline,8,4.4,17.0087,21.2075,26.0636,36.8,441,4,4,pv4,114
37934,BMW,750i xDrive,2017-01-01,Large Cars,All-Wheel Drive,Automatic (S8),Premium Gasoline,8,4.4,16.4269,20.4298,24.6935,34.7,459,4,4,pv4,114
37935,BMW,Alpina B7 xDrive,2017-01-01,Large Cars,All-Wheel Drive,Automatic (S8),Premium Gasoline,8,4.4,15.5008,19.2,23.8388,33.4,481,3,3,pv4,114
37936,Cadillac,CT6,2017-01-01,Large Cars,Rear-Wheel Drive,Automatic (S8),Premium Gasoline,4,2.0,21.5537,27.4225,30.2223,43.2984,359,5,5,pv4,110
37937,Rolls-Royce,Ghost,2017-01-01,Large Cars,Rear-Wheel Drive,Automatic (S8),Premium Gasoline,12,6.6,11.758,14.3297,18.6292,25.6396,627,1,1,pv4,111
37938,Rolls-Royce,Ghost EWB,2017-01-01,Large Cars,Rear-Wheel Drive,Automatic (S8),Premium Gasoline,12,6.6,11.758,14.3297,18.6292,25.6396,627,1,1,pv4,117
37959,BMW,M240i Coupe,2017-01-01,Subcompact Cars,Rear-Wheel Drive,Automatic (S8),Premium Gasoline,6,3.0,21.3931,27.1985,31.6341,45.5481,358,5,5,pv4,0
37960,BMW,M240i Convertible,2017-01-01,Subcompact Cars,Rear-Wheel Drive,Automatic (S8),Premium Gasoline,6,3.0,21.3931,27.1985,31.6341,45.5481,358,5,5,pv4,0
37961,BMW,440i Convertible,2017-01-01,Subcompact Cars,Rear-Wheel Drive,Automatic (S8),Premium Gasoline,6,3.0,20.7527,26.3088,28.9218,41.2459,372,5,5,pv4,0
37962,Infiniti,Q60,2017-01-01,Subcompact Cars,Rear-Wheel Drive,Automatic (S7),Premium Gasoline,6,3.0,19.2812,24.2836,28.2094,40.1293,396,5,5,pv4,0
37963,Infiniti,Q60S Red Sport,2017-01-01,Subcompact Cars,Rear-Wheel Drive,Automatic (S7),Premium Gasoline,6,3.0,19.73,24.8984,26.776,37.8997,398,5,5,pv4,0
37964,Infiniti,Q60,2017-01-01,Subcompact Cars,Rear-Wheel Drive,Automatic (S7),Premium Gasoline,4,2.0,22.3588,28.5499,29.893,46.2486,353,5,5,pv4,0
37965,Infiniti,Q60 AWD,2017-01-01,Subcompact Cars,All-Wheel Drive,Automatic (S7),Premium Gasoline,4,2.0,21.0691,26.7477,28.059,40.9978,374,5,5,pv4,0
37966,Infiniti,Q60S Red Sport AWD,2017-01-01,Subcompact Cars,All-Wheel Drive,Automatic (S7),Premium Gasoline,6,3.0,18.7427,23.549,25.706,36.2499,418,4,4,pv4,0
37967,Infiniti,Q60 AWD,2017-01-01,Subcompact Cars,All-Wheel Drive,Automatic (S7),Premium Gasoline,6,3.0,19.0353,23.9478,26.9644,38.1915,407,5,5,pv4,0
37968,BMW,440i Coupe,2017-01-01,Compact Cars,Rear-Wheel Drive,Automatic (S8),Premium Gasoline,6,3.0,21.3931,27.1985,31.6341,45.5481,358,5,5,pv4,0
37969,BMW,440i Gran Coupe,2017-01-01,Compact Cars,Rear-Wheel Drive,Automatic (S8),Premium Gasoline,6,3.0,21.3931,27.1985,31.6341,45.5481,358,5,5,pv4,92
37970,Toyota,Yaris,2017-01-01,Compact Cars,Front-Wheel Drive,Automatic 4-spd,Regular Gasoline,4,1.5,29.8859,39.5,34.6313,50.3998,278,7,7,pv4,86
37971,Toyota,Yaris,2017-01-01,Compact Cars,Front-Wheel Drive,Manual 5-spd,Regular Gasoline,4,1.5,30.1752,39.9363,36.2953,53.1387,271,8,8,pv4,86
37972,Volkswagen,GTI,2017-01-01,Compact Cars,Front-Wheel Drive,Automatic (AM-S6),Regular Gasoline,4,2.0,24.2669,30.2122,32.3249,44.8941,325,6,6,pv4,0
37973,Volkswagen,GTI,2017-01-01,Compact Cars,Front-Wheel Drive,Manual 6-spd,Regular Gasoline,4,2.0,24.2221,29.5,33.5837,46.1,319,6,6,pv4,0
37974,Volkswagen,Jetta,2017-01-01,Compact Cars,Front-Wheel Drive,Automatic (AM-S6),Regular Gasoline,4,2.0,23.8782,30.7,32.5998,47.1,326,6,6,pv4,94
37975,Volkswagen,Jetta,2017-01-01,Compact Cars,Front-Wheel Drive,Manual 6-spd,Regular Gasoline,4,2.0,23.0413,28.7,32.6138,46.8,335,6,6,pv4,94
37976,Volkswagen,Jetta,2017-01-01,Compact Cars,Front-Wheel Drive,Automatic (S6),Regular Gasoline,4,1.8,25.0648,32.4,34.7536,50.6,311,7,7,pv4,94
37977,Volkswagen,Golf,2017-01-01,Compact Cars,Front-Wheel Drive,Automatic (S6),Regular Gasoline,4,1.8,25.1342,32.5,35.0586,51.1,309,7,7,pv4,0
37978,Volkswagen,Golf,2017-01-01,Compact Cars,Front-Wheel Drive,Manual 5-spd,Regular Gasoline,4,1.8,25.2036,32.6,35.909,52.5,305,7,7,pv4,0
37979,BMW,740i,2017-01-01,Large Cars,Rear-Wheel Drive,Automatic (S8),Premium Gasoline,6,3.0,20.7527,26.3088,28.9218,41.2459,372,5,5,pv4,114
38006,Audi,A3 quattro,2017-01-01,Subcompact Cars,All-Wheel Drive,Automatic (AM-S6),Regular Gasoline,4,2.0,24.2578,31.3,31.2915,45.3,330,6,6,pv4,86
38007,Audi,TT Coupe quattro,2017-01-01,Subcompact Cars,All-Wheel Drive,Automatic (AM-S6),Regular Gasoline,4,2.0,23.2696,28.7495,30.3241,41.844,336,6,6,pv4,0
38008,BMW,M240i Coupe,2017-01-01,Subcompact Cars,Rear-Wheel Drive,Manual 6-spd,Premium Gasoline,6,3.0,18.746,23.5535,28.0773,39.923,401,5,5,pv4,0
38009,BMW,M240i xDrive Coupe,2017-01-01,Subcompact Cars,All-Wheel Drive,Automatic (S8),Premium Gasoline,6,3.0,21.2098,26.9433,31.3284,45.0592,357,5,5,pv4,0
38010,BMW,M240i Convertible,2017-01-01,Subcompact Cars,Rear-Wheel Drive,Manual 6-spd,Premium Gasoline,6,3.0,19.0649,23.9882,29.2962,41.8348,395,5,5,pv4,0
38011,BMW,M240i xDrive Convertible,2017-01-01,Subcompact Cars,All-Wheel Drive,Automatic (S8),Premium Gasoline,6,3.0,21.2098,26.9433,31.3284,45.0592,357,5,5,pv4,0
38012,BMW,440i xDrive Convertible,2017-01-01,Subcompact Cars,All-Wheel Drive,Automatic (S8),Premium Gasoline,6,3.0,20.2149,25.5655,30.0005,42.9471,374,5,5,pv4,0
38013,Audi,A4 Ultra,2017-01-01,Compact Cars,Front-Wheel Drive,Automatic (AM-S7),Premium Gasoline,4,2.0,27.4955,35.0,36.9717,52.1998,284,7,7,pv4,92
38014,BMW,340i,2017-01-01,Compact Cars,Rear-Wheel Drive,Manual 6-spd,Premium Gasoline,6,3.0,19.0649,23.9882,29.2962,41.8348,395,5,5,pv4,96
38015,BMW,340i xDrive,2017-01-01,Compact Cars,All-Wheel Drive,Automatic (S8),Premium Gasoline,6,3.0,21.2098,26.9433,31.3284,45.0592,357,5,5,pv4,96
38016,BMW,340i xDrive,2017-01-01,Compact Cars,All-Wheel Drive,Manual 6-spd,Premium Gasoline,6,3.0,19.3596,24.3908,28.5149,40.6074,391,5,5,pv4,96
38017,BMW,440i Coupe,2017-01-01,Compact Cars,Rear-Wheel Drive,Manual 6-spd,Premium Gasoline,6,3.0,19.0649,23.9882,29.2962,41.8348,395,5,5,pv4,0
38018,BMW,440i xDrive Coupe,2017-01-01,Compact Cars,All-Wheel Drive,Automatic (S8),Premium Gasoline,6,3.0,21.2098,26.9433,31.3284,45.0592,357,5,5,pv4,0
38019,BMW,440i xDrive Coupe,2017-01-01,Compact Cars,All-Wheel Drive,Manual 6-spd,Premium Gasoline,6,3.0,19.3596,24.3908,28.5149,40.6074,391,5,5,pv4,0
38020,BMW,440i xDrive Gran Coupe,2017-01-01,Compact Cars,All-Wheel Drive,Automatic (S8),Premium Gasoline,6,3.0,21.2098,26.9433,31.3284,45.0592,357,5,5,pv4,92
38021,Hyundai,Veloster,2017-01-01,Compact Cars,Front-Wheel Drive,Automatic (AM7),Regular Gasoline,4,1.6,26.3761,34.3,32.165,46.4,310,7,7,pv4,90
38022,Hyundai,Veloster,2017-01-01,Compact Cars,Front-Wheel Drive,Manual 6-spd,Regular Gasoline,4,1.6,24.9954,32.3,32.5998,47.1,321,6,6,pv4,90
38023,Mazda,2,2017-01-01,Compact Cars,Front-Wheel Drive,Manual 6-spd,Regular Gasoline,4,1.5,30.0,41.0,39.0229,57.7,259,8,8,pv4,0
38024,Mazda,2,2017-01-01,Compact Cars,Front-Wheel Drive,Automatic (S6),Regular Gasoline,4,1.5,32.0552,42.8,39.7315,58.9,252,8,8,pv4,0
38025,Mercedes-Benz,C300,2017-01-01,Compact Cars,Rear-Wheel Drive,Automatic 7-spd,Premium Gasoline,4,2.0,24.2285,31.2,34.0802,49.5,319,6,6,pv4,90
38026,Mercedes-Benz,CLS550,2017-01-01,Compact Cars,Rear-Wheel Drive,Automatic 9-spd,Premium Gasoline,8,4.7,17.9691,22.5,26.3231,37.2,425,4,4,pv4,92
